Type,Threads,Total-Time,Thread-Id,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
skew01/part01,1,243.96,0,13490240512.00,48373.30,22976387072.00,15522385920.00,310551845,178007712,0,0,342,178001578,346
sorted01/part01,1,167.66,0,13478672384.00,46131.77,21741383680.00,13122720768.00,295907402,178010337,0,0,0,178002915,0
skew02/part01,2,146.53,0,15200747520.00,224355.80,21976776704.00,9138870272.00,145598667,89004689,678486,319792,174,89001055,176
skew02/part02,2,146.53,1,15021786112.00,164443.45,21795205120.00,9152789504.00,145195921,89003073,840567,315783,159,89000533,160
sorted02/part01,2,197.64,0,17900961792.00,165395.81,31391080448.00,28018970624.00,139883985,89003798,1094129,18749747,1,89000983,1
sorted02/part02,2,197.64,1,24211427328.00,242501.70,39313432576.00,30673199104.00,140888266,89003903,2953715,22152501,2,89001000,2
skew04/part01,4,218.31,0,34125383680.00,1052288.00,51552317440.00,12655484928.00,78354037,44502270,5401663,439041,126,44500438,130
skew04/part02,4,218.31,1,37158477824.00,1578441.50,53982162944.00,11958343680.00,78695026,44502234,4767483,434578,69,44500509,70
skew04/part03,4,218.31,2,33989138432.00,806886.19,50209824768.00,12383126528.00,78867299,44501361,5056513,416990,49,44500240,51
skew04/part04,4,218.31,3,34199468032.00,1390379.38,50805043200.00,12161958912.00,79082327,44502170,5124635,428865,83,44500465,83
sorted04/part01,4,85.73,0,12240247808.00,354830.03,17463199744.00,19111524352.00,69024419,44503536,4077152,15157428,1,44501025,2
sorted04/part02,4,85.73,1,11818857472.00,274167.22,16870107136.00,21586520064.00,69101168,44501394,3522329,17422269,15,44500299,16
sorted04/part03,4,85.73,2,11864425472.00,412377.00,16920614912.00,21421940736.00,69496015,44501763,4683563,16959094,12,44500421,12
sorted04/part04,4,85.73,3,11917301760.00,201136.86,16771110912.00,21625731072.00,69572420,44501112,3387097,17377642,19,44500196,21
skew08/part01,8,197.64,0,38864052224.00,2919315.25,56233844736.00,9652723712.00,39337134,22251018,6138855,516658,46,22250199,47
skew08/part02,8,197.64,1,42093395968.00,3195347.25,59461316608.00,9382916096.00,39339066,22251236,4968945,488324,38,22250284,38
skew08/part03,8,197.64,2,38824464384.00,3861788.50,56914853888.00,9564322816.00,39138550,22251679,6578964,564863,52,22250415,52
skew08/part04,8,197.64,3,39876919296.00,843043.31,57020063744.00,9098948608.00,39268889,22250454,6049007,538829,28,22250041,28
skew08/part05,8,197.64,4,38982516736.00,1846654.00,56135598080.00,9515106304.00,39295027,22250581,6360512,532742,23,22250085,23
skew08/part06,8,197.64,5,38722678784.00,2956711.00,56141139968.00,9590603776.00,39127609,22250828,6351712,519644,26,22250165,28
skew08/part07,8,197.64,6,39110938624.00,2133590.50,56169533440.00,9454064640.00,39190059,22250994,5632800,467955,48,22250188,48
skew08/part08,8,197.64,7,37501624320.00,2973944.50,54419750912.00,9517002752.00,39100711,22251340,6192693,463743,46,22250309,46
sorted08/part01,8,269.51,0,39238283264.00,1091005.12,51525066752.00,98643886080.00,34676971,22250654,6331776,30603166,24,22250106,26
sorted08/part02,8,269.51,1,42826866688.00,3520353.25,54610604032.00,102247014400.00,34314929,22251796,4796571,33124442,8,22250490,10
sorted08/part03,8,269.51,2,39205789696.00,1881524.25,51566424064.00,97005821952.00,34479057,22251305,6658775,29796641,20,22250331,23
sorted08/part04,8,269.51,3,40715563008.00,533646.25,52761833472.00,100106633216.00,34371568,22250283,6838947,29747630,16,22249985,20
sorted08/part05,8,269.51,4,42918215680.00,1936062.75,54386098176.00,100449484800.00,34067163,22250999,4678448,32045236,12,22250215,14
sorted08/part06,8,269.51,5,39538257920.00,909501.81,51852562432.00,103648870400.00,34545191,22250465,6663449,31432616,13,22250056,15
sorted08/part07,8,269.51,6,36378640384.00,4712757.50,47614177280.00,101008596992.00,34231787,22251515,5502201,33024902,10,22250341,15
sorted08/part08,8,269.51,7,35752542208.00,3345234.75,46837800960.00,99888513024.00,34195088,22251572,5931387,32302509,9,22250337,12
skew16/part01,16,223.74,0,92068511744.00,1538575.25,103792680960.00,4706691584.00,19392412,11125524,15110698,213638,29,11125097,29
skew16/part02,16,223.74,1,93943939072.00,1493424.50,106492387328.00,4527832064.00,19694196,11125532,14226505,191895,32,11125091,35
skew16/part03,16,223.74,2,91965825024.00,1164287.25,103937351680.00,4603344384.00,19479192,11125492,15256565,208630,34,11125081,35
skew16/part04,16,223.74,3,92546539520.00,1010203.50,104560328704.00,4800084480.00,19444229,11125524,15641802,223656,22,11125105,23
skew16/part05,16,223.74,4,92435349504.00,2024295.75,104784560128.00,4708157440.00,19373151,11125909,15271326,234217,37,11125216,37
skew16/part06,16,223.74,5,90899070976.00,2059739.75,103401283584.00,4657020928.00,19503081,11125912,15311796,222703,38,11125214,40
skew16/part07,16,223.74,6,92954877952.00,1277814.88,104395423744.00,4590413312.00,19388820,11125351,13482797,215558,10,11125064,10
skew16/part08,16,223.74,7,93186211840.00,678210.31,104986853376.00,4835987968.00,19582349,11125229,15020524,206726,15,11125016,15
