Type,Threads,Total-Time,Thread-Id,Thread-Time,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
largeset/skew01/part01,1,1212.30,0,1208.60,57339117568.00,48123.55,229878382592.00,55097401344.00,2919263979,752514221,0,0,0,0,752501567
largeset/skew02/part01,2,766.57,0,764.55,71821869056.00,187292.53,187427815424.00,28996919296.00,1451932836,376257350,3828233,529994,0,0,376250854
largeset/skew02/part02,2,766.57,1,764.36,70358458368.00,215759.34,186231242752.00,28873431040.00,1451764530,376257234,3423384,539432,0,0,376250809
largeset/skew04/part01,4,475.93,0,473.69,49015287808.00,549128.50,132144791552.00,16756331520.00,726967359,188129102,14792935,847477,0,0,188125557
largeset/skew04/part02,4,475.93,1,464.54,48657125376.00,760786.56,130563997696.00,16677650432.00,726648947,188128412,7211202,919429,0,0,188125328
largeset/skew04/part03,4,475.93,2,471.48,48434327552.00,883875.12,131267174400.00,16753717248.00,727081881,188128547,10656684,809646,0,0,188125376
largeset/skew04/part04,4,475.93,3,474.33,48616312832.00,752987.31,131925803008.00,16769182720.00,727063143,188128756,12060327,838395,0,0,188125442
largeset/skew08/part01,8,336.36,0,329.30,50911961088.00,425909.16,124114264064.00,9920009216.00,365759897,94065324,26939696,909309,0,0,94063029
largeset/skew08/part02,8,336.36,1,334.58,52086059008.00,394872.75,124764135424.00,10006193152.00,365818743,94063773,29503920,833445,0,0,94062508
largeset/skew08/part03,8,336.36,2,332.12,51655159808.00,354775.34,124060573696.00,9974182912.00,365919201,94063725,25737348,805620,0,0,94062493
largeset/skew08/part04,8,336.36,3,327.92,51875745792.00,545672.38,124692930560.00,9900546048.00,365763037,94064780,33903202,909409,0,0,94062845
largeset/skew08/part05,8,336.36,4,333.56,52160614400.00,689203.31,123958525952.00,9884547072.00,365987671,94064854,25129970,725269,0,0,94062871
largeset/skew08/part06,8,336.36,5,329.70,52434341888.00,107803.57,125330972672.00,10034208768.00,365613516,94063176,36453902,997079,0,0,94062313
largeset/skew08/part07,8,336.36,6,332.24,53177278464.00,570779.00,127661662208.00,10206217216.00,365941955,94064314,26860167,921686,0,0,94062689
largeset/skew08/part08,8,336.36,7,332.40,53372923904.00,526101.25,127744516096.00,10174111744.00,365837717,94064379,27958219,920122,0,0,94062715
largeset/skew16/part01,16,1241.81,0,1229.26,757210152960.00,1168991.75,936973959168.00,6050825728.00,183564215,47032419,264223062,216806,0,0,47031434
largeset/skew16/part02,16,1241.81,1,1232.99,758695657472.00,2740386.75,939660214272.00,6050143232.00,183602872,47032806,263967440,231046,0,0,47031565
largeset/skew16/part03,16,1241.81,2,1027.70,550552141824.00,636723.62,722418139136.00,5979942400.00,181201039,47031826,230710395,216459,0,0,47031233
largeset/skew16/part04,16,1241.81,3,1233.06,759467343872.00,755087.00,938515103744.00,5983966208.00,183641894,47032160,262818737,199789,0,0,47031345
largeset/skew16/part05,16,1241.81,4,1231.37,755679363072.00,1362403.12,934284165120.00,6017156608.00,183613047,47032039,261475445,225623,0,0,47031308
largeset/skew16/part06,16,1241.81,5,1210.64,732022112256.00,510172.22,909165920256.00,5959125504.00,183222594,47031850,261433058,196290,0,0,47031245
largeset/skew16/part07,16,1241.81,6,1133.45,640421986304.00,1125904.38,814290305024.00,6066877952.00,182181910,47032315,239367577,190926,0,0,47031398
largeset/skew16/part08,16,1241.81,7,1169.84,684405489664.00,1086989.62,860221603840.00,6141285376.00,182652823,47032652,248170081,219847,0,0,47031507
largeset/skew16/part09,16,1241.81,8,1239.35,775633108992.00,1564725.88,951803904000.00,5501858304.00,183884335,47032252,255090779,172533,0,0,47031382
largeset/skew16/part10,16,1241.81,9,1115.49,642934964224.00,913515.69,815685369856.00,5612101632.00,181991707,47032219,248011936,171675,0,0,47031371
largeset/skew16/part11,16,1241.81,10,1160.22,690143887360.00,393446.41,865872314368.00,5691838464.00,182461701,47031465,258171898,213022,0,0,47031120
largeset/skew16/part12,16,1241.81,11,1236.95,776345616384.00,588908.75,954305806336.00,5600840192.00,183709440,47031771,259572870,198240,0,0,47031221
largeset/skew16/part13,16,1241.81,12,1071.89,595742228480.00,1136560.38,768117374976.00,5677305344.00,181507763,47032080,238206649,195192,0,0,47031324
largeset/skew16/part14,16,1241.81,13,1238.82,776901230592.00,788502.69,954325270528.00,5580306432.00,183824635,47032179,257093748,213121,0,0,47031359
largeset/skew16/part15,16,1241.81,14,1240.34,772911595520.00,1011842.38,948720369664.00,5645996032.00,183870459,47032280,253137829,194761,0,0,47031392
