Type,Threads,Total-Time,Thread-Id,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
skew01/part01,1,243.25,0,13459286016.00,48027.62,22944348160.00,15385141248.00,310551845,178007712,0,0,342,178001578,346
sorted01/part01,1,167.29,0,13479664640.00,47084.61,21685094400.00,13131845632.00,295907402,178010337,0,0,0,178002915,0
skew02/part01,2,212.16,0,20566192128.00,205203.70,33539196928.00,12689362944.00,144500710,89004855,724490,325682,197,89001079,198
skew02/part02,2,212.16,1,20798984192.00,130347.22,32977278976.00,12767233024.00,143944016,89002884,2021712,396141,166,89000457,166
sorted02/part01,2,217.76,0,21181093888.00,154045.67,32176541696.00,14375644160.00,139636975,89000955,795113,4741254,3,89000045,4
sorted02/part02,2,217.76,1,28723695616.00,1150463.38,41848635392.00,14726577152.00,135046354,89005968,1784923,5386502,0,89001719,0
skew04/part01,4,222.14,0,33850378240.00,1002396.56,52705890304.00,12559997952.00,78122929,44502201,5610959,500796,111,44500439,113
skew04/part02,4,222.14,1,35137179648.00,1501241.62,53963104256.00,12119434240.00,78847392,44502502,4621471,424257,73,44500595,73
skew04/part03,4,222.14,2,34054385664.00,555082.25,51035738112.00,12626073600.00,78336862,44501018,4575509,466840,57,44500119,58
skew04/part04,4,222.14,3,31431196672.00,872448.94,48258211840.00,12958829568.00,78980165,44502206,4137003,368600,98,44500459,100
sorted04/part01,4,199.45,0,33525766144.00,1616521.88,45871243264.00,30640918528.00,68827932,44504629,6110998,14634576,0,44501384,3
sorted04/part02,4,199.45,1,28704856064.00,669041.50,40451653632.00,38236930048.00,70799790,44501299,4665877,18924879,8,44500271,12
sorted04/part03,4,199.45,2,33591371776.00,141156.69,46995382272.00,38788087808.00,70315877,44500153,5906821,19160540,4,44499889,6
sorted04/part04,4,199.45,3,32894541824.00,799369.62,44943851520.00,39382183936.00,71410567,44501807,5397469,18811618,10,44500404,29
skew08/part01,8,202.29,0,41879949312.00,2602562.25,58645987328.00,9574057984.00,39302479,22251071,6702103,500041,39,22250216,46
skew08/part02,8,202.29,1,43079626752.00,3075345.75,60113076224.00,9231813632.00,39294009,22251103,6070820,525075,50,22250225,51
skew08/part03,8,202.29,2,41601921024.00,3462415.50,59010732032.00,9534580736.00,39245014,22251757,6726050,528046,62,22250427,62
