Type,Threads,Total-Time,Thread-Id,Thread-Time,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
smallset/skew01/part01,1,268.80,0,266.93,13675511808.00,48745.30,48489517056.00,13364838400.00,621267229,178007372,0,0,0,0,178001926
smallset/sorted01/part01,1,194.76,0,192.92,13476092928.00,47957.91,43632656384.00,13317914624.00,591812300,178010324,0,0,0,0,178002910
smallset/skew02/part01,2,293.61,0,292.16,31789277184.00,301006.59,79547121664.00,7232104960.00,292342180,89004321,733328,127115,0,0,89001166
smallset/skew02/part02,2,293.61,1,275.11,33301948416.00,220641.47,75223154688.00,7642491904.00,285115439,89003012,2605937,284936,0,0,89000722
smallset/sorted02/part01,2,288.44,0,268.71,40280428544.00,1118922.75,85928763392.00,10738306048.00,275010204,89007392,6126126,2473297,0,0,89002198
smallset/sorted02/part02,2,288.44,1,286.98,43568242688.00,30921.51,86097362944.00,9156920320.00,289435017,88999955,742041,553333,0,0,88999718
smallset/skew04/part01,4,313.97,0,310.80,36864831488.00,1170622.00,106677354496.00,6709857792.00,157632196,44502111,4791521,277317,0,0,44500556
smallset/skew04/part02,4,313.97,1,312.79,40200261632.00,1885671.12,108002615296.00,6758641664.00,157820878,44502265,4080082,258478,0,0,44500617
smallset/skew04/part03,4,313.97,2,310.15,38912335872.00,829963.00,110761623552.00,7066529280.00,156656977,44501319,5321446,283712,0,0,44500292
smallset/skew04/part04,4,313.97,3,311.46,37728374784.00,1251168.62,105693036544.00,6599260672.00,157933524,44502093,4373409,250733,0,0,44500549
smallset/sorted04/part01,4,317.65,0,306.31,43986927616.00,1590933.38,102087794688.00,32284729344.00,138008116,44504094,5127248,11887292,0,0,44501207
smallset/sorted04/part02,4,317.65,1,311.65,45962567680.00,1217716.38,110547468288.00,38224617472.00,139106388,44500898,5633415,15517965,0,0,44500155
smallset/sorted04/part03,4,317.65,2,316.23,43628359680.00,450745.00,102388580352.00,38669975552.00,140451457,44500721,5176010,15728305,0,0,44500081
smallset/sorted04/part04,4,317.65,3,316.28,43049607168.00,1526723.88,103892262912.00,36688793600.00,140701526,44502121,5565753,14284653,0,0,44500551
smallset/skew08/part01,8,255.12,0,249.94,38955081728.00,4259038.50,102257827840.00,5685122560.00,77787102,22250972,6872124,334360,0,0,22250246
smallset/skew08/part02,8,255.12,1,253.40,39955501056.00,3304024.50,107336916992.00,5536638464.00,78067141,22251146,4673898,284045,0,0,22250306
smallset/skew08/part03,8,255.12,2,253.86,37743517696.00,3997434.25,101265342464.00,5720272384.00,78017183,22251730,6958725,348725,0,0,22250504
smallset/skew08/part04,8,255.12,3,246.53,38866055168.00,1619806.62,100644438016.00,5659991552.00,77905086,22250496,7263552,354973,0,0,22250089
smallset/skew08/part05,8,255.12,4,247.39,38869090304.00,2186724.75,101413347328.00,5653308928.00,77604673,22250561,6793307,342008,0,0,22250108
smallset/skew08/part06,8,255.12,5,250.74,38225457152.00,2812713.75,101613731840.00,5632537600.00,78054994,22250678,7269180,331350,0,0,22250150
smallset/skew08/part07,8,255.12,6,249.94,37525098496.00,1935009.88,100649345024.00,6396322304.00,77872829,22251140,6824612,328621,0,0,22250302
smallset/skew08/part08,8,255.12,7,249.69,39670292480.00,3105889.00,107825291264.00,6354570240.00,77712121,22251169,4932206,292510,0,0,22250309
smallset/sorted08/part01,8,292.95,0,288.69,41893576704.00,3329700.25,101165137920.00,62389731328.00,73593442,22250990,6014379,20037262,0,0,22250250
smallset/sorted08/part02,8,292.95,1,291.58,41073508352.00,3009055.25,102233939968.00,64163618816.00,73885579,22250854,5579633,20839927,0,0,22250201
smallset/sorted08/part03,8,292.95,2,240.54,37846433792.00,9176648.00,90178535424.00,38231306240.00,65701991,22253413,6213479,9774619,0,0,22251070
smallset/sorted08/part04,8,292.95,3,286.40,38336548864.00,920059.19,96597573632.00,62322270208.00,73126518,22250495,6851554,18992459,0,0,22250069
smallset/sorted08/part05,8,292.95,4,290.21,39230857216.00,1389882.50,96315064320.00,62119346176.00,73854146,22250464,6197160,19616341,0,0,22250066
smallset/sorted08/part06,8,292.95,5,291.54,38730067968.00,1110423.62,99559464960.00,62940114944.00,73661030,22250336,6205222,19784980,0,0,22250033
smallset/sorted08/part07,8,292.95,6,279.80,38575620096.00,1135096.62,94908350464.00,62220845056.00,73979659,22250655,6504768,21141969,0,0,22250130
smallset/sorted08/part08,8,292.95,7,248.38,37990187008.00,1446166.12,90150322176.00,45783638016.00,72604144,22250617,7094212,12606144,0,0,22250131
smallset/skew16/part01,16,266.56,0,256.95,56803418112.00,1616989.00,142969470976.00,2757748480.00,39214870,11125521,16971264,166673,0,0,11125134
smallset/skew16/part02,16,266.56,1,256.05,57122230272.00,1833572.50,145897832448.00,2855630848.00,39048869,11125573,16947460,175810,0,0,11125150
smallset/skew16/part03,16,266.56,2,248.62,59018493952.00,1327831.50,151373037568.00,2573379840.00,39120733,11125475,13942934,154180,0,0,11125116
smallset/skew16/part04,16,266.56,3,254.39,54572294144.00,1775633.00,144109043712.00,2881964800.00,38554049,11125696,17233896,188940,0,0,11125190
smallset/skew16/part05,16,266.56,4,265.35,57331920896.00,2175149.25,147287441408.00,2827708416.00,39749306,11125749,15772550,160912,0,0,11125210
smallset/skew16/part06,16,266.56,5,258.70,56855658496.00,2437126.25,148188512256.00,2941033728.00,38818454,11125934,17325604,197075,0,0,11125272
smallset/skew16/part07,16,266.56,6,253.23,55177052160.00,785455.38,141804568576.00,3038653696.00,38903018,11125266,16803780,176806,0,0,11125050
smallset/skew16/part08,16,266.56,7,246.58,56542916608.00,523316.25,147895861248.00,2771496704.00,38900579,11125181,14317652,161123,0,0,11125023
smallset/skew16/part09,16,266.56,8,263.55,56607457280.00,868859.94,146054234112.00,3129895680.00,39625604,11125260,15502837,166953,0,0,11125046
smallset/skew16/part10,16,266.56,9,256.92,55928733696.00,851734.12,142566014976.00,3129240576.00,38973586,11125283,16393432,163946,0,0,11125054
smallset/skew16/part11,16,266.56,10,257.51,56150671360.00,1328035.88,144354131968.00,3084598016.00,39087078,11125357,16955669,170310,0,0,11125078
smallset/skew16/part12,16,266.56,11,255.03,59578638336.00,1035964.06,152875417600.00,2781992192.00,39187769,11125365,13761708,156971,0,0,11125082
smallset/skew16/part13,16,266.56,12,265.37,56713592832.00,1350047.50,146585468928.00,3075749376.00,39740060,11125490,15444477,147370,0,0,11125124
smallset/skew16/part14,16,266.56,13,264.85,57031757824.00,1517429.88,146401476608.00,3054862080.00,39789193,11125492,15380511,146403,0,0,11125124
smallset/skew16/part15,16,266.56,14,258.14,55841374208.00,961273.38,141995491328.00,3075266048.00,39170673,11125432,16572976,150402,0,0,11125104
smallset/skew16/part16,16,266.56,15,254.85,59070746624.00,2195556.75,151678451712.00,2843020800.00,39262394,11125688,13543172,149336,0,0,11125189
smallset/sorted16/part01,16,319.71,0,308.36,61095284736.00,958872.12,138827399168.00,72495144960.00,34673893,11125470,15658304,15905151,0,0,11125112
smallset/sorted16/part02,16,319.71,1,300.62,60896112640.00,2477975.25,140201443328.00,71427317760.00,34198233,11125701,14210566,15979857,0,0,11125184
smallset/sorted16/part03,16,319.71,2,312.55,62016143360.00,1297577.88,141254819840.00,74002169856.00,35478427,11125397,15812099,16121634,0,0,11125088
smallset/sorted16/part04,16,319.71,3,297.16,60742520832.00,852733.06,136455634944.00,71335854080.00,34259494,11125470,15174189,16013745,0,0,11125112
smallset/sorted16/part05,16,319.71,4,286.72,61792378880.00,7878485.50,131960946688.00,70071345152.00,33337114,11127364,14359758,14543513,0,0,11125733
smallset/sorted16/part06,16,319.71,5,309.57,59727843328.00,1558279.12,139191664640.00,72976777216.00,34563078,11125745,15838285,15664332,0,0,11125204
smallset/sorted16/part07,16,319.71,6,300.16,59325259776.00,940066.94,132986560512.00,74391109632.00,34485672,11125371,15491056,14863055,0,0,11125084
smallset/sorted16/part08,16,319.71,7,311.61,57188499456.00,425258.81,135959494656.00,74756513792.00,35295614,11125106,14155883,15688902,0,0,11124995
smallset/sorted16/part09,16,319.71,8,299.67,60681396224.00,649475.56,132842463232.00,74513580032.00,34848701,11125314,15028524,15223560,0,0,11125062
smallset/sorted16/part10,16,319.71,9,317.51,58680942592.00,461603.12,136713936896.00,74416693248.00,35610212,11125177,15141962,14937386,0,0,11125020
smallset/sorted16/part11,16,319.71,10,299.09,60710400000.00,1217627.50,132947296256.00,73187917824.00,34518777,11125425,15114506,14610846,0,0,11125094
smallset/sorted16/part12,16,319.71,11,313.71,59349966848.00,363877.31,138153508864.00,74490101760.00,35714600,11125236,14793105,15642967,0,0,11125037
smallset/sorted16/part13,16,319.71,12,317.94,60928569344.00,289095.31,136328077312.00,74199351296.00,36638449,11125162,15479226,13677161,0,0,11125012
smallset/sorted16/part14,16,319.71,13,317.73,60793577472.00,1037131.62,135361142784.00,74287251456.00,36688691,11125374,15342186,13644365,0,0,11125082
smallset/sorted16/part15,16,319.71,14,318.50,58868727808.00,384556.97,132134977536.00,73656475648.00,36980951,11125238,14598022,13526636,0,0,11125038
smallset/sorted16/part16,16,319.71,15,318.43,59319492608.00,721216.25,131707699200.00,73785368576.00,37105789,11125292,14590630,13562967,0,0,11125055
smallset/skew32/part01,32,486.82,0,484.54,131929628672.00,2063187.50,398567768064.00,1287680128.00,20077373,5562809,37993131,60906,0,0,5562583
smallset/skew32/part02,32,486.82,1,484.95,132069277696.00,2629818.00,404152451072.00,1706512512.00,19854977,5562864,40222086,70079,0,0,5562595
smallset/skew32/part03,32,486.82,2,470.14,126160666624.00,1625860.00,388654563328.00,1285453056.00,19683161,5562787,39541980,66297,0,0,5562573
smallset/skew32/part04,32,486.82,3,480.33,129932050432.00,2322367.25,401371856896.00,1248395648.00,19926539,5562875,41436861,86553,0,0,5562601
smallset/skew32/part05,32,486.82,4,469.63,122831790080.00,1525766.38,388176871424.00,1353183104.00,19760010,5562718,40301402,61688,0,0,5562551
smallset/skew32/part06,32,486.82,5,480.61,128504520704.00,1615891.50,400493379584.00,1321569792.00,19788954,5562769,40836794,77141,0,0,5562567
smallset/skew32/part07,32,486.82,6,469.37,119106224128.00,1720079.50,383186993152.00,1403355392.00,19268682,5562740,38322169,70595,0,0,5562556
smallset/skew32/part08,32,486.82,7,480.65,131495452672.00,2266128.75,395909529600.00,1283627648.00,19895007,5562919,41845491,75141,0,0,5562615
smallset/skew32/part09,32,486.82,8,484.34,132056924160.00,2084566.00,395172413440.00,1383201024.00,20078570,5562933,39355210,72955,0,0,5562623
smallset/skew32/part10,32,486.82,9,485.66,131660980224.00,3006648.25,402423644160.00,1792804864.00,19898434,5562944,38949321,64545,0,0,5562627
smallset/skew32/part11,32,486.82,10,474.77,130178850816.00,3435443.25,394066460672.00,1189633152.00,19977491,5562910,43196480,74281,0,0,5562617
smallset/skew32/part12,32,486.82,11,484.73,131832848384.00,4200492.50,399859318784.00,1447027584.00,19976544,5562956,40073073,74361,0,0,5562629
smallset/skew32/part13,32,486.82,12,480.95,131137101824.00,1280318.12,398026342400.00,1297813120.00,19935905,5562634,40355394,74641,0,0,5562523
smallset/skew32/part14,32,486.82,13,478.33,129218764800.00,625831.12,394645209088.00,1309366144.00,19860283,5562651,39058263,70207,0,0,5562527
smallset/skew32/part15,32,486.82,14,464.11,121817899008.00,670615.06,386342289408.00,1152677120.00,19916874,5562614,40753429,74998,0,0,5562515
smallset/skew32/part16,32,486.82,15,460.12,118843490304.00,849997.50,377378144256.00,1293410560.00,20005811,5562636,39105786,64900,0,0,5562524
smallset/skew32/part17,32,486.82,16,485.36,131802513408.00,713648.88,398452326400.00,1427105024.00,20213679,5562627,36287063,62477,0,0,5562523
smallset/skew32/part18,32,486.82,17,483.03,128456171520.00,738942.81,392391098368.00,1437588096.00,19829928,5562577,37387384,64926,0,0,5562507
smallset/skew32/part19,32,486.82,18,477.18,127177785344.00,1001898.31,385853685760.00,1372316416.00,20178778,5562639,37633505,57997,0,0,5562527
smallset/skew32/part20,32,486.82,19,481.34,128682328064.00,2067082.50,393201745920.00,1273801728.00,19930490,5562728,39068072,61634,0,0,5562555
smallset/skew32/part21,32,486.82,20,475.12,125051527168.00,1014296.25,387290267648.00,1552209152.00,19414770,5562673,38214535,60299,0,0,5562537
smallset/skew32/part22,32,486.82,21,482.65,129489272832.00,1052878.75,390849495040.00,1346636032.00,20178307,5562667,37327254,58673,0,0,5562537
smallset/skew32/part23,32,486.82,22,482.60,131068297216.00,1668093.88,402960318464.00,1180706688.00,19765971,5562684,42411269,63227,0,0,5562541
smallset/skew32/part24,32,486.82,23,482.93,128760741888.00,2541707.25,395153702912.00,1311386240.00,19666256,5562782,39742612,68059,0,0,5562572
smallset/skew32/part25,32,486.82,24,480.07,128234577920.00,2288160.25,398145978368.00,1350761088.00,19823652,5562774,42049512,64465,0,0,5562571
smallset/skew32/part26,32,486.82,25,481.38,129779802112.00,1129723.50,390841106432.00,1348059904.00,19922518,5562677,38343129,58114,0,0,5562539
smallset/skew32/part27,32,486.82,26,484.02,130336972800.00,1465635.25,394492510208.00,1340241152.00,19989204,5562738,37976799,57231,0,0,5562559
smallset/skew32/part28,32,486.82,27,460.51,115396182016.00,2342946.00,373386346496.00,1285687296.00,19756039,5562803,38543522,66503,0,0,5562575
smallset/skew32/part29,32,486.82,28,483.94,130144698368.00,1518033.88,397146423296.00,1303507456.00,19844332,5562741,39546651,70051,0,0,5562557
smallset/skew32/part30,32,486.82,29,481.63,129635672064.00,2264217.00,393782427648.00,1280937088.00,19890927,5562834,39787835,69005,0,0,5562591
smallset/skew32/part31,32,486.82,30,480.74,130750464000.00,2684195.25,402393563136.00,1294628992.00,19686436,5562742,42300286,64628,0,0,5562559
smallset/skew32/part32,32,486.82,31,421.90,89986031616.00,2775218.75,352110608384.00,1196416256.00,19021807,5562888,40203583,62005,0,0,5562610
smallset/sorted32/part01,32,505.35,0,167.81,25512022016.00,2217677.00,31149500416.00,108070912000.00,11125318,5562991,3114191,14997727,0,0,5562623
smallset/sorted32/part02,32,505.35,1,446.11,48536555520.00,289651.56,237985546240.00,143707668480.00,19120498,5562601,24466952,20137787,0,0,5562507
smallset/sorted32/part03,32,505.35,2,454.94,52739760128.00,884505.38,241644453888.00,149613133824.00,19062355,5562683,23809110,20952667,0,0,5562535
smallset/sorted32/part04,32,505.35,3,480.27,51725729792.00,328175.41,240638574592.00,175434743808.00,19672249,5562671,24131566,26560455,0,0,5562533
smallset/sorted32/part05,32,505.35,4,441.43,51290304512.00,1046954.25,245652668416.00,132023214080.00,17671004,5562920,26435122,18456746,0,0,5562617
smallset/sorted32/part06,32,505.35,5,379.33,55171407872.00,2179409.50,204101337088.00,115793289216.00,14933581,5562874,20471679,14938927,0,0,5562603
smallset/sorted32/part07,32,505.35,6,496.94,49768878080.00,459847.59,239328002048.00,193213923328.00,20360720,5562735,23355886,27686145,0,0,5562555
smallset/sorted32/part08,32,505.35,7,504.16,47706578944.00,986899.62,247521165312.00,191150571520.00,20033266,5562794,23770659,27521773,0,0,5562576
smallset/sorted32/part09,32,505.35,8,504.18,48202547200.00,745146.19,243513638912.00,192567492608.00,20292627,5562868,24934124,24062465,0,0,5562603
smallset/sorted32/part10,32,505.35,9,502.92,49475739648.00,180702.61,239830204416.00,195236839424.00,20511510,5563164,26045941,27039012,0,0,5562701
smallset/sorted32/part11,32,505.35,10,504.15,47830339584.00,307979.47,244949483520.00,191675842560.00,20043340,5562813,23842391,27657649,0,0,5562585
smallset/sorted32/part12,32,505.35,11,503.98,49272578048.00,671272.75,246645719040.00,192009191424.00,20390049,5562809,24801274,27423310,0,0,5562583
smallset/sorted32/part13,32,505.35,12,481.04,47040360448.00,46621.97,238980775936.00,183902191616.00,19655391,5562640,27426491,27600396,0,0,5562517
smallset/sorted32/part14,32,505.35,13,479.51,50212433920.00,882749.81,238679474176.00,182496722944.00,20216745,5562686,26866142,26835256,0,0,5562535
smallset/sorted32/part15,32,505.35,14,475.75,49293950976.00,24385.91,233438904320.00,179752157184.00,20387178,5562569,24625153,24595636,0,0,5562499
smallset/sorted32/part16,32,505.35,15,503.71,50246848512.00,308841.78,245223178240.00,195633741824.00,20358940,5562619,24498707,28565408,0,0,5562514
smallset/sorted32/part17,32,505.35,16,503.14,49623052288.00,231714.88,240684924928.00,196547264512.00,20378768,5562614,24387098,26687647,0,0,5562511
smallset/sorted32/part18,32,505.35,17,503.57,47288037376.00,105079.51,240088449024.00,196713250816.00,20072593,5562637,24409690,25124799,0,0,5562517
smallset/sorted32/part19,32,505.35,18,496.08,47665795072.00,95.61,238308769792.00,192078675968.00,20125812,5562606,24249666,24420280,0,0,5562515
smallset/sorted32/part20,32,505.35,19,481.69,46920536064.00,213810.39,237319634944.00,184033050624.00,20044028,5562604,24767851,25701291,0,0,5562515
smallset/sorted32/part21,32,505.35,20,445.31,52640194560.00,0.00,241803001856.00,144118956032.00,20025841,5562571,27995629,20255636,0,0,5562505
smallset/sorted32/part22,32,505.35,21,465.48,51801755648.00,122645.72,240678338560.00,167804370944.00,19918768,5562542,26434634,24111735,0,0,5562493
smallset/sorted32/part23,32,505.35,22,503.46,50365861888.00,748376.44,245003337728.00,194726248448.00,20267324,5562667,24312360,29069235,0,0,5562533
smallset/sorted32/part24,32,505.35,23,441.02,52836532224.00,1097806.75,245172092928.00,137361752064.00,18283941,5562773,29331106,20624459,0,0,5562574
smallset/sorted32/part25,32,505.35,24,495.03,49105752064.00,85632.52,238179155968.00,190662656000.00,20323876,5562597,24724271,26210469,0,0,5562511
smallset/sorted32/part26,32,505.35,25,470.51,48187699200.00,262769.78,234710990848.00,174277345280.00,20352356,5562645,25226956,23258173,0,0,5562525
smallset/sorted32/part27,32,505.35,26,270.90,56800243712.00,2717244.00,117079523328.00,117324021760.00,12785128,5562840,13549838,16780303,0,0,5562581
smallset/sorted32/part28,32,505.35,27,385.85,56497344512.00,2150266.25,209960337408.00,119396466688.00,15005463,5562860,20282289,15990312,0,0,5562591
smallset/sorted32/part29,32,505.35,28,344.76,56030445568.00,1525329.62,179257458688.00,116648787968.00,13966872,5562760,17252191,16167399,0,0,5562555
smallset/sorted32/part30,32,505.35,29,443.81,51711655936.00,1367179.12,245945532416.00,138949017600.00,18557661,5562718,28744899,20765811,0,0,5562551
smallset/sorted32/part31,32,505.35,30,491.41,47198617600.00,0.00,236015910912.00,190772150272.00,19994894,5562498,23090201,28398648,0,0,5562476
smallset/sorted32/part32,32,505.35,31,141.83,10036133888.00,12556721.00,14215356416.00,108172091392.00,11125959,5563951,875712,16218185,0,0,5562944
