Type,Threads,Total-Time,Thread-Id,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
sorted32/part04,32,609.25,3,136791179264.00,2152715.50,318270799872.00,183742906368.00,18424646,5562724,33531855,26454114,20,0,5562547
sorted32/part05,32,609.25,4,135517036544.00,1399356.25,320958693376.00,205940506624.00,18270297,5562693,33077234,30386734,15,0,5562539
sorted32/part06,32,609.25,5,133641076736.00,11888850.00,283977809920.00,138970054656.00,14386924,5564079,28761774,19074684,0,0,5562991
sorted32/part07,32,609.25,6,139152146432.00,723284.06,326410076160.00,209567137792.00,18729198,5562632,32160925,28487939,15,0,5562519
sorted32/part08,32,609.25,7,136342618112.00,1470079.00,326271172608.00,208527638528.00,18449539,5562802,32071222,29904663,10,0,5562573
sorted32/part09,32,609.25,8,133745983488.00,2811748.00,318669193216.00,212669530112.00,17995073,5563006,32769348,29497819,21,0,5562645
sorted32/part10,32,609.25,9,137353682944.00,1723672.38,328914665472.00,208649256960.00,18578174,5562822,33100238,30535201,5,0,5562577
sorted32/part11,32,609.25,10,139127799808.00,1159171.25,327607975936.00,209448222720.00,18506159,5562826,33747832,27871936,8,0,5562581
sorted32/part12,32,609.25,11,141455081472.00,3967467.50,328232534016.00,208076783616.00,18856707,5562797,33334278,27916090,8,0,5562575
sorted32/part13,32,609.25,12,135742611456.00,202755.27,324485906432.00,211575963648.00,18171511,5562600,32937804,29818737,5,0,5562511
sorted32/part14,32,609.25,13,133945081856.00,638000.56,314982498304.00,192165298176.00,17995497,5562734,32788085,25749308,13,0,5562552
sorted32/part15,32,609.25,14,138904977408.00,354361.88,325920817152.00,211689209856.00,18836070,5562566,32578562,31515754,1,0,5562501
sorted32/part16,32,609.25,15,133690933248.00,704024.06,315911766016.00,194721579008.00,18265782,5562665,33121138,28028906,4,0,5562528
sorted32/part17,32,609.25,16,137150824448.00,227083.28,313987465216.00,196436918272.00,18561624,5562645,32251801,26373679,9,0,5562521
sorted32/part18,32,609.25,17,140395806720.00,603287.44,316200714240.00,204359860224.00,18931053,5562597,32153872,27382198,6,0,5562507
