Type,Threads,Total-Time,Thread-Id,Thread-Time,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
largeset/skew01/part01,1,1210.88,0,1206.38,57671643136.00,49702.75,229948276736.00,56454950912.00,2919263979,752514221,0,0,0,0,752501567
largeset/skew02/part01,2,1322.61,0,1320.21,148491845632.00,228130.25,371531743232.00,29784700928.00,1452605024,376257523,5031715,303700,0,0,376250909
largeset/skew02/part02,2,1322.61,1,1250.36,142351859712.00,275269.97,349179248640.00,30575351808.00,1451596112,376257023,11524894,620213,0,0,376250740
largeset/skew04/part01,4,1343.82,0,1340.37,153910263808.00,803381.75,422625804288.00,29242515456.00,728070743,188128825,17376246,813447,0,0,188125470
largeset/skew04/part02,4,1343.82,1,1328.07,162648866816.00,957340.19,419846094848.00,29232908288.00,728053491,188128824,17322219,868745,0,0,188125467
largeset/skew04/part03,4,1343.82,2,1324.04,163208232960.00,1133684.75,425832120320.00,29182752768.00,728656179,188128246,18686040,878346,0,0,188125276
largeset/skew04/part04,4,1343.82,3,1342.25,163987406848.00,529399.25,415040929792.00,27976837120.00,729207782,188128750,13259126,668414,0,0,188125446
largeset/skew08/part01,8,1089.62,0,1052.92,148602765312.00,2656688.00,395076534272.00,23752056832.00,365316410,94065292,24691884,1171214,0,0,94063021
largeset/skew08/part02,8,1089.62,1,1087.20,159146655744.00,3489185.25,404373864448.00,24310988800.00,364869106,94063973,20236866,1012559,0,0,94062583
largeset/skew08/part03,8,1089.62,2,1084.19,147204096000.00,2601421.75,395750440960.00,24140165120.00,365585740,94063822,20886893,1051604,0,0,94062533
largeset/skew08/part04,8,1089.62,3,1088.13,159799951360.00,6880686.00,407564025856.00,24636966912.00,364998458,94064838,19466635,1065079,0,0,94062873
largeset/skew08/part05,8,1089.62,4,1079.34,148812316672.00,4013574.25,393170976768.00,23927003136.00,365518263,94064704,21884211,958463,0,0,94062830
largeset/skew08/part06,8,1089.62,5,1085.63,148644626432.00,960813.06,381469556736.00,24253734912.00,364510386,94063139,23511698,1088347,0,0,94062305
largeset/skew08/part07,8,1089.62,6,1005.23,147757858816.00,2713204.75,379397996544.00,26604201984.00,364820942,94064514,23287841,1234566,0,0,94062761
