Type,Threads,Total-Time,Thread-Id,Thread-Time,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
smallset/skew01/part01,1,246.75,0,245.04,13832035328.00,49069.07,23619424256.00,15940087808.00,310634620,178007372,0,0,0,178001926,0
smallset/sorted01/part01,1,165.78,0,164.02,13730230272.00,47038.58,22147878912.00,13382194176.00,295907393,178010324,0,0,0,178002910,0
smallset/skew02/part01,2,249.25,0,241.48,26369114112.00,186817.56,39893962752.00,16152386560.00,145045389,89004273,2863597,436006,0,89001148,0
smallset/skew02/part02,2,249.25,1,247.88,27762802688.00,156227.58,38904647680.00,15983440896.00,142163985,89003127,1273655,370956,0,89000762,0
smallset/sorted02/part01,2,214.52,0,202.91,27425288192.00,309029.06,41853792256.00,19210620928.00,137795813,89005617,5972514,10425445,0,89001602,0
smallset/sorted02/part02,2,214.52,1,213.06,26237308928.00,225642.02,39238082560.00,18605592576.00,140371100,89001917,1888228,9705604,0,89000359,1
smallset/skew04/part01,4,249.38,0,245.93,30836445184.00,1027660.19,52585037824.00,14517792768.00,78273704,44502184,4518479,581814,0,44500579,2
smallset/skew04/part02,4,249.38,1,247.51,31368538112.00,1247170.88,52246102016.00,14651963392.00,78314997,44502165,3444798,521296,0,44500576,1
smallset/skew04/part03,4,249.38,2,248.21,31673530368.00,503221.91,53057224704.00,14845637632.00,78306453,44501121,3900726,507507,0,44500226,1
smallset/skew04/part04,4,249.38,3,247.04,29953814528.00,902019.56,51957628928.00,14440134656.00,78444486,44502211,3835366,496185,0,44500590,1
smallset/sorted04/part01,4,135.48,0,124.62,15772791808.00,623325.00,24679985152.00,31411017728.00,69040473,44504411,4289384,21300859,0,44501312,3
smallset/sorted04/part02,4,135.48,1,133.89,15616306176.00,315148.72,24920672256.00,36989812736.00,69372290,44501675,3514987,25700041,0,44500404,3
smallset/sorted04/part03,4,135.48,2,134.15,15206814720.00,104949.56,24238057472.00,38224027648.00,69708181,44500539,3692965,26586928,0,44500009,6
smallset/sorted04/part04,4,135.48,3,131.62,15511782400.00,227423.34,24436178944.00,35547856896.00,69722154,44501228,4031782,24841525,0,44500251,2
smallset/skew08/part01,8,197.91,0,194.97,41560367104.00,2433306.50,60252499968.00,9261381632.00,38877429,22251028,6336604,444142,0,22250257,3
smallset/skew08/part02,8,197.91,1,195.46,43424600064.00,4403922.00,60463828992.00,9572687872.00,38943700,22251059,6222280,450140,0,22250271,1
smallset/skew08/part03,8,197.91,2,196.76,46430867456.00,3702210.25,64829067264.00,9381428224.00,39187403,22251650,6221915,524914,0,22250468,2
smallset/skew08/part04,8,197.91,3,195.88,46785490944.00,911996.81,64631902208.00,9190282240.00,39145724,22250500,5981647,519065,0,22250087,0
smallset/skew08/part05,8,197.91,4,194.12,43323547648.00,1564474.62,60322398208.00,9461057536.00,38965338,22250582,7027697,484582,0,22250113,2
smallset/skew08/part06,8,197.91,5,195.62,43541000192.00,3254301.50,60758515712.00,9625852928.00,39061042,22250776,7120922,472627,0,22250178,3
smallset/skew08/part07,8,197.91,6,194.47,42880233472.00,3456076.25,59510849536.00,10085348352.00,38866477,22251000,6223650,444004,0,22250254,2
smallset/skew08/part08,8,197.91,7,195.35,41573109760.00,2976947.50,60375158784.00,9636430848.00,38783441,22251209,6382002,437095,0,22250324,1
smallset/sorted08/part01,8,221.84,0,217.98,46402449408.00,1605088.00,64332660736.00,44314624000.00,35724006,22250723,7549631,14922712,0,22250159,1
smallset/sorted08/part02,8,221.84,1,219.35,46381281280.00,1713311.12,64260595712.00,45755727872.00,35886085,22251037,7646033,15227497,0,22250261,3
smallset/sorted08/part03,8,221.84,2,220.56,47603990528.00,1856920.12,63902199808.00,45364051968.00,36281144,22251187,7979076,15240947,0,22250315,3
smallset/sorted08/part04,8,221.84,3,218.48,46179602432.00,994313.50,61367193600.00,46241394688.00,35712054,22250461,8085289,15252044,0,22250068,1
smallset/sorted08/part05,8,221.84,4,220.54,47512129536.00,621734.94,63489351680.00,45320675328.00,36209127,22250288,7990155,14939755,0,22250016,2
smallset/sorted08/part06,8,221.84,5,210.58,47345524736.00,142028.00,62662115328.00,38778314752.00,35293091,22250125,8452843,11099023,0,22249967,2
smallset/sorted08/part07,8,221.84,6,200.43,48212365312.00,11332157.00,62282899456.00,37606866944.00,33379483,22252243,4569729,12663099,0,22250575,2
smallset/sorted08/part08,8,221.84,7,199.97,47290941440.00,4450668.00,61298806784.00,37534343168.00,33365352,22252383,4786692,12838281,0,22250579,2
