Type,Threads,Total-Time,Thread-Id,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
sorted32/part16,32,416.48,15,55966019584.00,1079836.00,56070709248.00,90099376128.00,5731652,5562648,7182143,11423080,0,5562524,2
sorted32/part17,32,416.48,16,197336465408.00,0.00,202674454528.00,123203248128.00,10359092,5562587,26750118,14011381,2,5562497,6
sorted32/part18,32,416.48,17,58617344000.00,1438628.00,58802204672.00,90791739392.00,5840230,5562877,8001931,11528828,8,5562594,9
sorted32/part19,32,416.48,18,178101616640.00,0.00,183303274496.00,123813560320.00,10151669,5562670,25863415,16421149,18,5562509,20
sorted32/part20,32,416.48,19,204964528128.00,367861.84,210685853696.00,122639319040.00,10257959,5562704,28089846,16465687,11,5562528,13
sorted32/part21,32,416.48,20,205888241664.00,36634.78,211494453248.00,123995373568.00,10402157,5562579,26043701,15482333,9,5562486,11
sorted32/part22,32,416.48,21,198161743872.00,398542.38,203565907968.00,122104463360.00,10304971,5562714,26941911,16183327,10,5562533,12
sorted32/part23,32,416.48,22,210951897088.00,52007.15,216425791488.00,122937155584.00,10367954,5562602,26222167,14924620,2,5562502,5
sorted32/part24,32,416.48,23,206455930880.00,58487.78,212149026816.00,124026871808.00,10367759,5562594,26594438,15431997,6,5562498,8
sorted32/part25,32,416.48,24,200467398656.00,78538.48,205844201472.00,123297144832.00,10345028,5562698,27363838,14904571,3,5562538,4
sorted32/part26,32,416.48,25,203004280832.00,438995.34,208551952384.00,123924381696.00,10386397,5562625,26301093,16662334,7,5562501,10
sorted32/part27,32,416.48,26,206953922560.00,339488.59,212197818368.00,115727556608.00,9809522,5562787,25792030,15702188,17,5562545,20
sorted32/part28,32,416.48,27,91890769920.00,2523355.00,92518014976.00,94001430528.00,6362045,5563032,10760744,11784332,14,5562633,16
sorted32/part29,32,416.48,28,208479436800.00,0.00,213928591360.00,123168825344.00,10379579,5562655,26093218,15233432,12,5562509,14
sorted32/part30,32,416.48,29,204961218560.00,182392.50,210536333312.00,124157206528.00,10336173,5562636,26664783,18122781,5,5562506,7
sorted32/part31,32,416.48,30,194546221056.00,64901.93,199863648256.00,123750752256.00,10242210,5562650,28136861,14964613,10,5562509,15
sorted32/part32,32,416.48,31,202472570880.00,453450.16,207965126656.00,124122349568.00,10211149,5562670,27293128,15092948,7,5562521,9
