Type,Threads,Total-Time,Thread-Id,Thread-Time,Root-Read-Wait,Root-Write-Wait,Readlock-Wait,Writelock-wait,Readlock-Aquired,Writelock-Aquired,Readlock-Failed,Writelock-Failed,LowFence-Overwrites,Optimistic-Successes,Optimistic-Failures
largeset/skew01/part01,1,1114.35,0,1109.59,58657378304.00,48944.83,112375242752.00,72112676864.00,1459633898,752514221,0,0,0,752501567,0
largeset/skew02/part01,2,1017.13,0,1001.41,92261638144.00,173991.62,162116370432.00,59424260096.00,726890719,376257778,6806848,1093314,0,376250995,0
largeset/skew02/part02,2,1017.13,1,1014.52,104243052544.00,214207.06,172340051968.00,60950028288.00,729990665,376256563,5177486,964313,0,376250586,0
largeset/skew04/part01,4,948.95,0,932.40,129146101760.00,493649.03,204156993536.00,49281073152.00,364454879,188128717,19620074,2065271,0,188125433,3
largeset/skew04/part02,4,948.95,1,947.32,127339118592.00,367675.38,201227567104.00,50498506752.00,365176052,188128586,16626500,1346172,0,188125396,0
largeset/skew04/part03,4,948.95,2,912.74,132782587904.00,673105.56,206810808320.00,47010660352.00,364462217,188128457,21728608,2246407,0,188125347,0
largeset/skew04/part04,4,948.95,3,938.68,130071183360.00,537786.00,202588028928.00,51044933632.00,364465325,188128529,18339610,1973905,0,188125372,0
largeset/skew08/part01,8,842.28,0,836.71,181785739264.00,1932505.88,251365916672.00,35713040384.00,182580450,94065048,28103594,1768883,0,94062943,0
largeset/skew08/part02,8,842.28,1,839.39,186332266496.00,2666633.75,255867731968.00,35600523264.00,182543890,94063895,23426170,1561557,0,94062556,1
largeset/skew08/part03,8,842.28,2,834.40,180609204224.00,2795076.25,248205803520.00,35761483776.00,182572000,94063869,28127030,1708573,0,94062549,0
largeset/skew08/part04,8,842.28,3,832.94,177821450240.00,2840182.25,248143724544.00,34969985024.00,182437254,94065051,27662300,1682543,0,94062943,0
largeset/skew08/part05,8,842.28,4,826.06,179661864960.00,2866104.50,248069341184.00,34041686016.00,182443774,94064551,26247070,1514240,0,94062777,0
largeset/skew08/part06,8,842.28,5,840.69,178887835648.00,698080.19,247629561856.00,34442539008.00,182537855,94063187,23963442,1640541,0,94062320,1
largeset/skew08/part07,8,842.28,6,826.44,182603268096.00,3467015.50,252358590464.00,37705011200.00,182542787,94064636,23674940,1812494,0,94062805,0
largeset/skew08/part08,8,842.28,7,840.70,176956719104.00,2703039.50,244572504064.00,37319643136.00,182610537,94064482,23559547,1701231,0,94062752,0
largeset/skew16/part01,16,1023.30,0,984.68,439538286592.00,1064292.75,474531528704.00,17165097984.00,91829685,47032207,72247883,738844,0,47031366,0
largeset/skew16/part02,16,1023.30,1,997.42,462321287168.00,1964849.75,496494772224.00,16965571584.00,91629480,47032528,54111598,733151,0,47031475,0
largeset/skew16/part03,16,1023.30,2,1019.24,450537291776.00,852770.19,484605329408.00,17365897216.00,91709501,47031677,66917687,738063,0,47031184,2
largeset/skew16/part04,16,1023.30,3,1019.46,452773576704.00,977329.75,486642581504.00,17076003840.00,91614656,47032278,65723774,690914,0,47031389,0
largeset/skew16/part05,16,1023.30,4,1016.58,445409951744.00,1177774.75,479533105152.00,17277542400.00,91684066,47032131,66781617,771070,0,47031332,2
largeset/skew16/part06,16,1023.30,5,973.45,427664572416.00,1130911.12,461800865792.00,17095180288.00,91873086,47031926,64396855,671083,0,47031271,0
largeset/skew16/part07,16,1023.30,6,994.61,454227558400.00,1419417.25,489538060288.00,17224859648.00,91870878,47032236,72057670,731858,0,47031376,0
largeset/skew16/part08,16,1023.30,7,966.25,437009678336.00,866010.38,473979125760.00,16866599936.00,91710028,47032719,69299872,816697,0,47031539,0
largeset/skew16/part09,16,1023.30,8,978.42,436326301696.00,2140345.00,471316955136.00,17299681280.00,91709218,47032540,69069656,668224,0,47031476,0
largeset/skew16/part10,16,1023.30,9,1002.90,465973837824.00,1318441.00,498678693888.00,16818719744.00,91731848,47032204,51550751,589285,0,47031365,0
largeset/skew16/part11,16,1023.30,10,994.59,461573259264.00,317827.91,495388065792.00,17143884800.00,91641665,47031351,58344155,784699,0,47031080,0
largeset/skew16/part12,16,1023.30,11,1021.83,457149513728.00,394759.06,491205427200.00,17298974720.00,91903368,47031768,64500284,698943,0,47031219,0
largeset/skew16/part13,16,1023.30,12,1000.71,456005124096.00,1240032.50,491187044352.00,17555918848.00,91841172,47031831,71854864,759629,0,47031241,0
largeset/skew16/part14,16,1023.30,13,998.78,464966156288.00,1225346.25,498660474880.00,17687066624.00,91712531,47032293,53450676,754551,0,47031395,0
largeset/skew16/part15,16,1023.30,14,986.68,436702904320.00,1602684.25,472388599808.00,17364930560.00,91752415,47032322,68993634,740893,0,47031404,0
largeset/skew16/part16,16,1023.30,15,990.12,439406493696.00,1700725.75,474157645824.00,17334702080.00,91861848,47032201,69946807,691801,0,47031365,0
largeset/skew32/part01,32,1982.93,0,1964.75,1475716448256.00,2223283.50,1493660991488.00,10061068288.00,45574828,23516072,167106933,220564,0,23515671,1
largeset/skew32/part02,32,1982.93,1,1939.27,1465072353280.00,1071242.88,1482611752960.00,9922333696.00,45742953,23516298,171181113,235663,0,23515744,2
largeset/skew32/part03,32,1982.93,2,1712.28,1226362978304.00,4917229.00,1244396126208.00,10036346880.00,45370339,23516883,151383807,253166,0,23515940,2
largeset/skew32/part04,32,1982.93,3,1914.16,1464353423360.00,1091818.12,1481475883008.00,9791837184.00,45664446,23515916,175745193,240276,0,23515619,0
largeset/skew32/part05,32,1982.93,4,1936.54,1474773778432.00,1853893.75,1491471695872.00,9693844480.00,45665174,23515928,174655355,229848,0,23515617,3
largeset/skew32/part06,32,1982.93,5,1873.36,1442681192448.00,2051278.75,1459295092736.00,9678036992.00,45720941,23515932,179814650,208393,0,23515622,2
largeset/skew32/part07,32,1982.93,6,1979.77,1473588101120.00,1314880.12,1493192409088.00,10592515072.00,45809770,23516081,146997924,208650,0,23515674,1
largeset/skew32/part08,32,1982.93,7,1981.41,1492767997952.00,1775799.62,1511251771392.00,9889207296.00,45888805,23516086,145188286,207851,0,23515676,1
largeset/skew32/part09,32,1982.93,8,1974.40,1504552026112.00,1278179.88,1522704580608.00,9841691648.00,45829809,23516055,161803248,227093,0,23515668,0
largeset/skew32/part10,32,1982.93,9,1973.54,1455021621248.00,1614118.25,1474260631552.00,10042448896.00,45853989,23515976,149283660,245506,0,23515640,0
largeset/skew32/part11,32,1982.93,10,1954.53,1452100157440.00,366380.25,1470534385664.00,10258720768.00,45876564,23515801,157735693,235028,0,23515575,3
largeset/skew32/part12,32,1982.93,11,1979.39,1473060012032.00,2316406.75,1492033732608.00,10225897472.00,45857489,23516006,146638550,208142,0,23515651,0
largeset/skew32/part13,32,1982.93,12,1838.85,1358498234368.00,1144100.50,1376664944640.00,9821332480.00,45412433,23516098,155812184,224085,0,23515682,0
largeset/skew32/part14,32,1982.93,13,1957.57,1534176657408.00,925197.06,1550840496128.00,9556665344.00,45818499,23516075,177403406,220637,0,23515674,0
largeset/skew32/part15,32,1982.93,14,1973.16,1542755713024.00,1844519.75,1560644419584.00,9690167296.00,45611528,23516211,168688674,252799,0,23515717,1
largeset/skew32/part16,32,1982.93,15,1970.16,1512853733376.00,918092.94,1531131985920.00,9553711104.00,45849289,23516354,163866047,271757,0,23515766,1
largeset/skew32/part17,32,1982.93,16,1980.00,1525427470336.00,2043991.62,1542753484800.00,9474962432.00,45841075,23516209,160745315,238940,0,23515714,0
largeset/skew32/part18,32,1982.93,17,1963.66,1531470938112.00,2299034.25,1548460883968.00,9749060608.00,45802407,23516075,173138906,206542,0,23515671,1
largeset/skew32/part19,32,1982.93,18,1908.89,1414218907648.00,1293343.75,1432467144704.00,9729990656.00,45817326,23516135,156348301,213838,0,23515694,0
